Best Price,Per Amount,Single Price,Product Name,Link,Category,Varietal,Size,Standard Drinks,Alcohol Volume,Country,Brand Name,Closure,Whisky Style,Age,Region,Current Vintage,State,Wine Style,Vegan Friendly,Beer Style,Organic,Food Match,Wine Maker,Spirit Style,Wine Body,Cellar Release,Cider Style,Langtons Classified
$247.50 ,6,$247.50 ,XV Years Old Single Malt French Whisky 500mL,https://www.danmurphys.com.au/product/DM_699583/michel-couvreur-xv-years-old-single-malt-french-whisky-500ml,French Whisky,,500mL,17.77,45%,France,Michel Couvreur,Cork,Single Malt,15 Year Old,,,,,,,,,,,,,,
$219.80 ,1,$219.80 ,Amrut Double Cask Indian Whisky 46% 700mL,https://www.danmurphys.com.au/product/DM_ER_1000006499_AMRUTDOUBLECASK/amrut-amrut-double-cask-indian-whisky-46-700ml,Indian Whisky,,700mL,26,46%,India,Amrut,,Single Malt,,,,,,,,,,,,,,,
$184.00 ,1,$184.00 ,Amrut Naarangi Indian Whisky 50% 700mL,https://www.danmurphys.com.au/product/DM_ER_1000006499_AMRUTNAARANGI/amrut-amrut-naarangi-indian-whisky-50-700ml,Indian Whisky,,700mL,28,50%,India,Amrut,Cork,Single Malt,,,,,,,,,,,,,,,
$119.80 ,1,$119.80 ,Amrut Peated Single Malt Indian Whisky 46% 700mL,https://www.danmurphys.com.au/product/DM_ER_1000006499_AMRUTPEATED46/amrut-amrut-peated-single-malt-indian-whisky-46-700ml,Indian Whisky,,700mL,26,46%,India,Amrut,Cork,Single Malt,,,,,,,,,,,,,,,
$174.00 ,1,$174.00 ,Amrut Portonova Indian Whisky 62.1% 700mL,https://www.danmurphys.com.au/product/DM_ER_1000006499_AMRUTPORTONOVA/amrut-amrut-portonova-indian-whisky-62-1-700ml,Indian Whisky,,700mL,35,62.10%,India,Amrut,Cork,Single Malt,,,,,,,,,,,,,,,
$95.10 ,1,$95.10 ,Fusion Indian Whisky 700mL,https://www.danmurphys.com.au/product/DM_749095/amrut-fusion-indian-whisky-700ml,Indian Whisky,Indian Whisky,700mL,27.6,50.00%,India,Amrut,Cork,Single Malt,,,,,,,,,,,,,,,
$94.99 ,1,$94.99 ,Bold 46%,https://www.danmurphys.com.au/product/DM_ER_1000003298_PJN1010L/paul-john-sgl-malt-bold-46-,Indian Whisky,Whisky,700mL,25,46%,India,Paul John Sgl Malt,Cork,Single Malt,,,,,,,,,Cheese,,,,,,
$84.99 ,1,$84.99 ,Brilliance 46%,https://www.danmurphys.com.au/product/DM_ER_1000003298_PJN1000L/paul-john-sgl-malt-brilliance-46-,Indian Whisky,Whisky,700mL,25,46%,India,Paul John Sgl Malt,Cork,Single Malt,,,,,,,,,Dried Fruits,,,,,,
$89.99 ,1,$89.99 ,Edited 46%,https://www.danmurphys.com.au/product/DM_ER_1000003298_PJN1005L/paul-john-sgl-malt-edited-46-,Indian Whisky,Whisky,700mL,25,46%,India,Paul John Sgl Malt,Cork,Single Malt,,,,,,,,,Cheese,,,,,,
$99.99 ,1,$99.99 ,Indian Single Malt 43%,https://www.danmurphys.com.au/product/DM_ER_1000003298_RAM1000L/rampur-indian-single-malt-43-,Indian Whisky,Craft Whisky,700mL,23.7,43%,India,Rampur,Cork,Single Malt,,,,,,,,,Cheese,,,,,,
$26.50 ,6,$0.00 ,Corte Moschina 2016 Roncathe Soave,https://www.danmurphys.com.au/product/DM_ER_1000002917_MOS003/corte-moschina-corte-moschina-2016-roncathe-soave,Garganega,Garganega,750mL,7,12.00%,Italy,Corte Moschina,Cork,,,Veneto,Cork,WNE,White Varietals,,,,,,,,,,
$18.99 ,1,$18.99 ,Garganega,https://www.danmurphys.com.au/product/DM_326957/domain-day-garganega,Garganega,Garganega,750mL,7.4,12.5% (2011),Australia,Domain Day,Screw Cap,,,Barossa Valley,2011*,South Australia,Dry,,,,,Robin Day,,,,,
$24.70 ,1,$24.70 ,Soave Classico Danieli,https://www.danmurphys.com.au/product/DM_903812/fattori-soave-classico-danieli,Garganega,Garganega,750mL,7.4,12.5% (2012),Italy,Fattori,Screw Cap,,,Veneto,2012*,,Dry,,,,,Antonio Fattori,,,,,
$21.90 ,1,$21.90 ,Soave,https://www.danmurphys.com.au/product/DM_450186/gregoris-soave,Garganega,Garganega,750mL,7.4,12.50%,Italy,Gregoris,Screw Cap,,,Veneto,2016*,,Dry,,,,,Antonio Fattori,,,,,
$26.60 ,12,$26.60 ,Levarie Soave Classico,https://www.danmurphys.com.au/product/DM_35066/masi-levarie-soave-classico,Garganega,Garganega,750mL,7.1,12.0% (2010),Italy,Masi,Screw Cap,,,Veneto,2010*,,Dry,,,,,,,,,,
$31.40 ,1,$31.40 ,Soave,https://www.danmurphys.com.au/product/DM_431076/tamellini-soave,Garganega,Garganega,750mL,7.1,13%,Italy,Tamellini,Cork,,,Veneto,2017*,,Dry,,,,,,,,,,
